end,value,state,type
01/08/2000,298000,nat,h
1/15/2000,289000,nat,h
1/22/2000,284000,nat,h
1/29/2000,285000,nat,h
02/05/2000,312000,nat,h
02/12/2000,300000,nat,h
2/19/2000,283000,nat,h
2/26/2000,280000,nat,h
03/04/2000,286000,nat,h
03/11/2000,270000,nat,h
3/18/2000,271000,nat,h
3/25/2000,272000,nat,h
04/01/2000,266000,nat,h
04/08/2000,268000,nat,h
4/15/2000,259000,nat,h
4/22/2000,274000,nat,h
4/29/2000,291000,nat,h
05/06/2000,293000,nat,h
5/13/2000,276000,nat,h
5/20/2000,280000,nat,h
5/27/2000,280000,nat,h
06/03/2000,290000,nat,h
06/10/2000,284000,nat,h
6/17/2000,294000,nat,h
6/24/2000,296000,nat,h
07/01/2000,281000,nat,h
07/08/2000,293000,nat,h
7/15/2000,303000,nat,h
7/22/2000,300000,nat,h
7/29/2000,298000,nat,h
08/05/2000,306000,nat,h
08/12/2000,315000,nat,h
8/19/2000,318000,nat,h
8/26/2000,312000,nat,h
09/02/2000,301000,nat,h
09/09/2000,309000,nat,h
9/16/2000,311000,nat,h
9/23/2000,288000,nat,h
9/30/2000,292000,nat,h
10/07/2000,309000,nat,h
10/14/2000,299000,nat,h
10/21/2000,295000,nat,h
10/28/2000,301000,nat,h
11/04/2000,331000,nat,h
11/11/2000,318000,nat,h
11/18/2000,332000,nat,h
11/25/2000,356000,nat,h
12/02/2000,338000,nat,h
12/09/2000,321000,nat,h
12/16/2000,354000,nat,h
12/23/2000,364000,nat,h
12/30/2000,353000,nat,h
01/06/2001,337000,nat,h
1/13/2001,318000,nat,h
1/20/2001,343000,nat,h
1/27/2001,362000,nat,h
02/03/2001,376000,nat,h
02/10/2001,365000,nat,h
2/17/2001,358000,nat,h
2/24/2001,386000,nat,h
03/03/2001,384000,nat,h
03/10/2001,393000,nat,h
3/17/2001,393000,nat,h
3/24/2001,378000,nat,h
3/31/2001,388000,nat,h
04/07/2001,398000,nat,h
4/14/2001,383000,nat,h
4/21/2001,400000,nat,h
4/28/2001,406000,nat,h
05/05/2001,381000,nat,h
05/12/2001,390000,nat,h
5/19/2001,402000,nat,h
5/26/2001,405000,nat,h
06/02/2001,406000,nat,h
06/09/2001,411000,nat,h
6/16/2001,394000,nat,h
6/23/2001,381000,nat,h
6/30/2001,394000,nat,h
07/07/2001,401000,nat,h
7/14/2001,405000,nat,h
7/21/2001,398000,nat,h
7/28/2001,388000,nat,h
08/04/2001,401000,nat,h
08/11/2001,394000,nat,h
8/18/2001,402000,nat,h
8/25/2001,395000,nat,h
09/01/2001,402000,nat,h
09/08/2001,408000,nat,h
9/15/2001,395000,nat,h
9/22/2001,453000,nat,h
9/29/2001,517000,nat,h
10/06/2001,476000,nat,h
10/13/2001,482000,nat,h
10/20/2001,482000,nat,h
10/27/2001,483000,nat,h
11/03/2001,440000,nat,h
11/10/2001,428000,nat,h
11/17/2001,431000,nat,h
11/24/2001,491000,nat,h
12/01/2001,465000,nat,h
12/08/2001,393000,nat,h
12/15/2001,389000,nat,h
12/22/2001,416000,nat,h
12/29/2001,421000,nat,h
01/05/2002,397000,nat,h
01/12/2002,418000,nat,h
1/19/2002,405000,nat,h
1/26/2002,414000,nat,h
02/02/2002,404000,nat,h
02/09/2002,397000,nat,h
2/16/2002,397000,nat,h
2/23/2002,398000,nat,h
03/02/2002,392000,nat,h
03/09/2002,399000,nat,h
3/16/2002,392000,nat,h
3/23/2002,415000,nat,h
3/30/2002,479000,nat,h
04/06/2002,445000,nat,h
4/13/2002,442000,nat,h
4/20/2002,416000,nat,h
4/27/2002,414000,nat,h
05/04/2002,409000,nat,h
05/11/2002,413000,nat,h
5/18/2002,411000,nat,h
5/25/2002,403000,nat,h
06/01/2002,378000,nat,h
06/08/2002,388000,nat,h
6/15/2002,396000,nat,h
6/22/2002,388000,nat,h
6/29/2002,386000,nat,h
07/06/2002,391000,nat,h
7/13/2002,384000,nat,h
7/20/2002,379000,nat,h
7/27/2002,390000,nat,h
08/03/2002,388000,nat,h
08/10/2002,389000,nat,h
8/17/2002,399000,nat,h
8/24/2002,398000,nat,h
8/31/2002,394000,nat,h
09/07/2002,416000,nat,h
9/14/2002,412000,nat,h
9/21/2002,401000,nat,h
9/28/2002,409000,nat,h
10/05/2002,404000,nat,h
10/12/2002,405000,nat,h
10/19/2002,412000,nat,h
10/26/2002,409000,nat,h
11/02/2002,405000,nat,h
11/09/2002,400000,nat,h
11/16/2002,389000,nat,h
11/23/2002,390000,nat,h
11/30/2002,377000,nat,h
12/07/2002,425000,nat,h
12/14/2002,429000,nat,h
12/21/2002,394000,nat,h
12/28/2002,409000,nat,h
01/04/2003,393000,nat,h
01/11/2003,378000,nat,h
1/18/2003,402000,nat,h
1/25/2003,407000,nat,h
02/01/2003,413000,nat,h
02/08/2003,390000,nat,h
2/15/2003,420000,nat,h
2/22/2003,421000,nat,h
03/01/2003,436000,nat,h
03/08/2003,424000,nat,h
3/15/2003,430000,nat,h
3/22/2003,411000,nat,h
3/29/2003,436000,nat,h
04/05/2003,417000,nat,h
04/12/2003,434000,nat,h
4/19/2003,450000,nat,h
4/26/2003,444000,nat,h
05/03/2003,428000,nat,h
05/10/2003,417000,nat,h
5/17/2003,425000,nat,h
5/24/2003,419000,nat,h
5/31/2003,431000,nat,h
06/07/2003,429000,nat,h
6/14/2003,421000,nat,h
6/21/2003,408000,nat,h
6/28/2003,429000,nat,h
07/05/2003,433000,nat,h
07/12/2003,412000,nat,h
7/19/2003,403000,nat,h
7/26/2003,398000,nat,h
08/02/2003,401000,nat,h
08/09/2003,404000,nat,h
8/16/2003,398000,nat,h
8/23/2003,391000,nat,h
8/30/2003,407000,nat,h
09/06/2003,422000,nat,h
9/13/2003,394000,nat,h
9/20/2003,379000,nat,h
9/27/2003,387000,nat,h
10/04/2003,386000,nat,h
10/11/2003,376000,nat,h
10/18/2003,387000,nat,h
10/25/2003,379000,nat,h
11/01/2003,363000,nat,h
11/08/2003,371000,nat,h
11/15/2003,370000,nat,h
11/22/2003,354000,nat,h
11/29/2003,357000,nat,h
12/06/2003,367000,nat,h
12/13/2003,363000,nat,h
12/20/2003,354000,nat,h
12/27/2003,349000,nat,h
01/03/2004,356000,nat,h
01/10/2004,354000,nat,h
1/17/2004,362000,nat,h
1/24/2004,353000,nat,h
1/31/2004,376000,nat,h
02/07/2004,380000,nat,h
2/14/2004,356000,nat,h
2/21/2004,359000,nat,h
2/28/2004,348000,nat,h
03/06/2004,344000,nat,h
3/13/2004,338000,nat,h
3/20/2004,346000,nat,h
3/27/2004,340000,nat,h
04/03/2004,335000,nat,h
04/10/2004,355000,nat,h
4/17/2004,364000,nat,h
4/24/2004,339000,nat,h
05/01/2004,324000,nat,h
05/08/2004,329000,nat,h
5/15/2004,349000,nat,h
5/22/2004,342000,nat,h
5/29/2004,337000,nat,h
06/05/2004,355000,nat,h
06/12/2004,339000,nat,h
6/19/2004,354000,nat,h
6/26/2004,348000,nat,h
07/03/2004,326000,nat,h
07/10/2004,345000,nat,h
7/17/2004,355000,nat,h
7/24/2004,348000,nat,h
7/31/2004,341000,nat,h
08/07/2004,336000,nat,h
8/14/2004,332000,nat,h
8/21/2004,343000,nat,h
8/28/2004,352000,nat,h
09/04/2004,326000,nat,h
09/11/2004,331000,nat,h
9/18/2004,341000,nat,h
9/25/2004,351000,nat,h
10/02/2004,335000,nat,h
10/09/2004,338000,nat,h
10/16/2004,327000,nat,h
10/23/2004,338000,nat,h
10/30/2004,332000,nat,h
11/06/2004,330000,nat,h
11/13/2004,337000,nat,h
11/20/2004,313000,nat,h
11/27/2004,335000,nat,h
12/04/2004,343000,nat,h
12/11/2004,316000,nat,h
12/18/2004,322000,nat,h
12/25/2004,320000,nat,h
01/01/2005,356000,nat,h
01/08/2005,369000,nat,h
1/15/2005,332000,nat,h
1/22/2005,329000,nat,h
1/29/2005,331000,nat,h
02/05/2005,307000,nat,h
02/12/2005,308000,nat,h
2/19/2005,318000,nat,h
2/26/2005,314000,nat,h
03/05/2005,333000,nat,h
03/12/2005,324000,nat,h
3/19/2005,329000,nat,h
3/26/2005,342000,nat,h
04/02/2005,335000,nat,h
04/09/2005,323000,nat,h
4/16/2005,307000,nat,h
4/23/2005,317000,nat,h
4/30/2005,334000,nat,h
05/07/2005,327000,nat,h
5/14/2005,321000,nat,h
5/21/2005,320000,nat,h
5/28/2005,340000,nat,h
06/04/2005,338000,nat,h
06/11/2005,333000,nat,h
6/18/2005,321000,nat,h
6/25/2005,311000,nat,h
07/02/2005,327000,nat,h
07/09/2005,338000,nat,h
7/16/2005,323000,nat,h
7/23/2005,318000,nat,h
7/30/2005,316000,nat,h
08/06/2005,311000,nat,h
8/13/2005,319000,nat,h
8/20/2005,315000,nat,h
8/27/2005,318000,nat,h
09/03/2005,326000,nat,h
09/10/2005,422000,nat,h
9/17/2005,424000,nat,h
9/24/2005,359000,nat,h
10/01/2005,384000,nat,h
10/08/2005,383000,nat,h
10/15/2005,348000,nat,h
10/22/2005,324000,nat,h
10/29/2005,322000,nat,h
11/05/2005,325000,nat,h
11/12/2005,309000,nat,h
11/19/2005,324000,nat,h
11/26/2005,311000,nat,h
12/03/2005,321000,nat,h
12/10/2005,327000,nat,h
12/17/2005,312000,nat,h
12/24/2005,320000,nat,h
12/31/2005,302000,nat,h
01/07/2006,326000,nat,h
1/14/2006,285000,nat,h
1/21/2006,290000,nat,h
1/28/2006,282000,nat,h
02/04/2006,289000,nat,h
02/11/2006,298000,nat,h
2/18/2006,283000,nat,h
2/25/2006,293000,nat,h
03/04/2006,302000,nat,h
03/11/2006,307000,nat,h
3/18/2006,303000,nat,h
3/25/2006,295000,nat,h
04/01/2006,291000,nat,h
04/08/2006,299000,nat,h
4/15/2006,299000,nat,h
4/22/2006,308000,nat,h
4/29/2006,321000,nat,h
05/06/2006,347000,nat,h
5/13/2006,335000,nat,h
5/20/2006,319000,nat,h
5/27/2006,330000,nat,h
06/03/2006,307000,nat,h
06/10/2006,298000,nat,h
6/17/2006,308000,nat,h
6/24/2006,309000,nat,h
07/01/2006,316000,nat,h
07/08/2006,343000,nat,h
7/15/2006,318000,nat,h
7/22/2006,306000,nat,h
7/29/2006,311000,nat,h
08/05/2006,318000,nat,h
08/12/2006,310000,nat,h
8/19/2006,315000,nat,h
8/26/2006,314000,nat,h
09/02/2006,315000,nat,h
09/09/2006,314000,nat,h
9/16/2006,324000,nat,h
9/23/2006,319000,nat,h
9/30/2006,309000,nat,h
10/07/2006,316000,nat,h
10/14/2006,305000,nat,h
10/21/2006,313000,nat,h
10/28/2006,328000,nat,h
11/04/2006,319000,nat,h
11/11/2006,311000,nat,h
11/18/2006,326000,nat,h
11/25/2006,349000,nat,h
12/02/2006,327000,nat,h
12/09/2006,311000,nat,h
12/16/2006,318000,nat,h
12/23/2006,323000,nat,h
12/30/2006,341000,nat,h
01/06/2007,330000,nat,h
1/13/2007,296000,nat,h
1/20/2007,335000,nat,h
1/27/2007,308000,nat,h
02/03/2007,310000,nat,h
02/10/2007,338000,nat,h
2/17/2007,321000,nat,h
2/24/2007,322000,nat,h
03/03/2007,320000,nat,h
03/10/2007,308000,nat,h
3/17/2007,309000,nat,h
3/24/2007,303000,nat,h
3/31/2007,307000,nat,h
04/07/2007,332000,nat,h
4/14/2007,327000,nat,h
4/21/2007,321000,nat,h
4/28/2007,301000,nat,h
05/05/2007,300000,nat,h
05/12/2007,297000,nat,h
5/19/2007,310000,nat,h
5/26/2007,310000,nat,h
06/02/2007,313000,nat,h
06/09/2007,313000,nat,h
6/16/2007,320000,nat,h
6/23/2007,313000,nat,h
6/30/2007,317000,nat,h
07/07/2007,321000,nat,h
7/14/2007,317000,nat,h
7/21/2007,310000,nat,h
7/28/2007,305000,nat,h
08/04/2007,314000,nat,h
08/11/2007,316000,nat,h
8/18/2007,321000,nat,h
8/25/2007,329000,nat,h
09/01/2007,314000,nat,h
09/08/2007,321000,nat,h
9/15/2007,313000,nat,h
9/22/2007,302000,nat,h
9/29/2007,317000,nat,h
10/06/2007,316000,nat,h
10/13/2007,335000,nat,h
10/20/2007,334000,nat,h
10/27/2007,328000,nat,h
11/03/2007,327000,nat,h
11/10/2007,333000,nat,h
11/17/2007,332000,nat,h
11/24/2007,352000,nat,h
12/01/2007,344000,nat,h
12/08/2007,332000,nat,h
12/15/2007,350000,nat,h
12/22/2007,355000,nat,h
12/29/2007,360000,nat,h
01/05/2008,346000,nat,h
01/12/2008,322000,nat,h
1/19/2008,321000,nat,h
1/26/2008,366000,nat,h
02/02/2008,350000,nat,h
02/09/2008,344000,nat,h
2/16/2008,339000,nat,h
2/23/2008,354000,nat,h
03/01/2008,345000,nat,h
03/08/2008,348000,nat,h
3/15/2008,369000,nat,h
3/22/2008,368000,nat,h
3/29/2008,387000,nat,h
04/05/2008,354000,nat,h
04/12/2008,365000,nat,h
4/19/2008,349000,nat,h
4/26/2008,370000,nat,h
05/03/2008,370000,nat,h
05/10/2008,366000,nat,h
5/17/2008,367000,nat,h
5/24/2008,369000,nat,h
5/31/2008,362000,nat,h
06/07/2008,382000,nat,h
6/14/2008,378000,nat,h
6/21/2008,381000,nat,h
6/28/2008,392000,nat,h
07/05/2008,371000,nat,h
07/12/2008,385000,nat,h
7/19/2008,402000,nat,h
7/26/2008,434000,nat,h
08/02/2008,448000,nat,h
08/09/2008,430000,nat,h
8/16/2008,424000,nat,h
8/23/2008,421000,nat,h
8/30/2008,442000,nat,h
09/06/2008,441000,nat,h
9/13/2008,449000,nat,h
9/20/2008,483000,nat,h
9/27/2008,483000,nat,h
10/04/2008,482000,nat,h
10/11/2008,461000,nat,h
10/18/2008,478000,nat,h
10/25/2008,480000,nat,h
11/01/2008,490000,nat,h
11/08/2008,512000,nat,h
11/15/2008,536000,nat,h
11/22/2008,532000,nat,h
11/29/2008,529000,nat,h
12/06/2008,570000,nat,h
12/13/2008,566000,nat,h
12/20/2008,587000,nat,h
12/27/2008,533000,nat,h
01/03/2009,503000,nat,h
01/10/2009,551000,nat,h
1/17/2009,591000,nat,h
1/24/2009,586000,nat,h
1/31/2009,629000,nat,h
02/07/2009,637000,nat,h
2/14/2009,632000,nat,h
2/21/2009,655000,nat,h
2/28/2009,652000,nat,h
03/07/2009,660000,nat,h
3/14/2009,651000,nat,h
3/21/2009,661000,nat,h
3/28/2009,665000,nat,h
04/04/2009,653000,nat,h
04/11/2009,599000,nat,h
4/18/2009,639000,nat,h
4/25/2009,620000,nat,h
05/02/2009,602000,nat,h
05/09/2009,625000,nat,h
5/16/2009,620000,nat,h
5/23/2009,606000,nat,h
5/30/2009,607000,nat,h
06/06/2009,596000,nat,h
6/13/2009,595000,nat,h
6/20/2009,608000,nat,h
6/27/2009,594000,nat,h
07/04/2009,573000,nat,h
07/11/2009,546000,nat,h
7/18/2009,560000,nat,h
7/25/2009,587000,nat,h
08/01/2009,555000,nat,h
08/08/2009,555000,nat,h
8/15/2009,562000,nat,h
8/22/2009,560000,nat,h
8/29/2009,564000,nat,h
09/05/2009,558000,nat,h
09/12/2009,542000,nat,h
9/19/2009,536000,nat,h
9/26/2009,554000,nat,h
10/03/2009,533000,nat,h
10/10/2009,511000,nat,h
10/17/2009,531000,nat,h
10/24/2009,530000,nat,h
10/31/2009,522000,nat,h
11/07/2009,512000,nat,h
11/14/2009,507000,nat,h
11/21/2009,482000,nat,h
11/28/2009,475000,nat,h
12/05/2009,497000,nat,h
12/12/2009,498000,nat,h
12/19/2009,479000,nat,h
12/26/2009,468000,nat,h
01/02/2010,456000,nat,h
01/09/2010,469000,nat,h
1/16/2010,507000,nat,h
1/23/2010,471000,nat,h
1/30/2010,496000,nat,h
02/06/2010,466000,nat,h
